link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7771958-daewoo-nexia,"Daewoo Nexia, ",Yeniləndi: 27.09.2023,Baxışların sayı: 28,Bakı,Daewoo,Nexia,2006,Sedan,Ağ,1.5 L/90 a.g./Benzin,214 111 km,Mexaniki,Ön,Xeyr,5 200 AZN
https://turbo.az/autos/7211060-bmw-528,"BMW 528, ",Yeniləndi: 27.09.2023,Baxışların sayı: 5793,Bakı,BMW,528,2015,Sedan,Ağ,2.0 L/245 a.g./Benzin,197 000 km,Avtomat,Tam,Xeyr,23 000 USD
https://turbo.az/autos/7704336-mazda-cx-5,"Mazda CX-5, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2015,Bakı,Mazda,CX-5,2017,Offroader / SUV,Ağ,2.0 L/150 a.g./Benzin,166 100 km,Avtomat,Ön,Xeyr,36 200 AZN
https://turbo.az/autos/7704194-mitsubishi-pajero,"Mitsubishi Pajero, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2260,Bakı,Mitsubishi,Pajero,2010,Offroader / SUV,Ağ,3.5 L/202 a.g./Benzin,168 000 km,Avtomat,Tam,Xeyr,32 500 AZN
https://turbo.az/autos/7679149-volkswagen-passat,"Volkswagen Passat, ",Yeniləndi: 27.09.2023,Baxışların sayı: 4684,Sumqayıt,Volkswagen,Passat,2011,Sedan,Göy,1.8 L/160 a.g./Benzin,197 260 km,Avtomat,Ön,Xeyr,18 800 AZN
https://turbo.az/autos/7733213-dodge-charger,"Dodge Charger, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2590,Bakı,Dodge,Charger,2012,Sedan,Qara,6.4 L/477 a.g./Benzin,135 000 km,Avtomat,Arxa,Xeyr,24 500 USD
https://turbo.az/autos/7757275-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 201,Sumqayıt,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L/175 a.g./Benzin,197 227 km,Avtomat,Tam,Xeyr,33 900 AZN
https://turbo.az/autos/7681603-hyundai-i30,"Hyundai i30, ",Yeniləndi: 27.09.2023,Baxışların sayı: 4284,Bakı,Hyundai,i30,2008,Hetçbek,Mavi,1.4 L/109 a.g./Benzin,232 000 km,Mexaniki,Ön,Xeyr,14 300 AZN
https://turbo.az/autos/7336436-porsche-cayenne,"Porsche Cayenne, ",Yeniləndi: 27.09.2023,Baxışların sayı: 11941,Bakı,Porsche,Cayenne,2017,Offroader / SUV,Ağ,3.6 L/300 a.g./Benzin,104 000 km,Avtomat,Tam,Xeyr,49 900 USD
https://turbo.az/autos/7661419-kia-sportage,"Kia Sportage, ",Yeniləndi: 27.09.2023,Baxışların sayı: 3348,Bakı,Kia,Sportage,2016,Offroader / SUV,Ağ,1.7 L/115 a.g./Dizel,118 800 km,Avtomat,Tam,Xeyr,32 500 AZN
https://turbo.az/autos/7738861-kia-optima,"Kia Optima, ",Yeniləndi: 27.09.2023,Baxışların sayı: 967,Sumqayıt,Kia,Optima,2016,Sedan,Ağ,2.0 L/274 a.g./Benzin,73 727 km,Avtomat,Ön,Xeyr,33 700 AZN
https://turbo.az/autos/7639074-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 27.09.2023,Baxışların sayı: 3622,Sumqayıt,Mercedes,E 220,2011,Sedan,Qara,2.2 L/170 a.g./Dizel,195 252 km,Avtomat,Arxa,Xeyr,29 900 AZN
https://turbo.az/autos/7771945-toyota-land-cruiser,"Toyota Land Cruiser, ",Yeniləndi: 27.09.2023,Baxışların sayı: 24,Bakı,Toyota,Land Cruiser,2009,Offroader / SUV,Qara,4.7 L/288 a.g./Benzin,158 000 km,Avtomat,Tam,Xeyr,30 500 USD
https://turbo.az/autos/7745733-mercedes-c-220,"Mercedes C 220, ",Yeniləndi: 26.09.2023,Baxışların sayı: 10404,Bakı,Mercedes,C 220,2000,Sedan,Göy,2.2 L/143 a.g./Dizel,323 282 km,Avtomat,Arxa,Xeyr,13 900 AZN
https://turbo.az/autos/7754509-kia-sorento,"Kia Sorento, ",Yeniləndi: 27.09.2023,Baxışların sayı: 168,Sumqayıt,Kia,Sorento,2010,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,204 000 km,Avtomat,Ön,Xeyr,29 900 AZN
https://turbo.az/autos/7750206-toyota-camry,"Toyota Camry, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2044,Bakı,Toyota,Camry,2023,Sedan,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,47 900 USD
https://turbo.az/autos/7737622-land-rover-discovery,"Land Rover Discovery, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1243,Bakı,Land Rover,Discovery,2007,Offroader / SUV,Qara,2.7 L/190 a.g./Dizel,275 081 km,Avtomat,Tam,Xeyr,25 200 AZN
https://turbo.az/autos/7754490-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 139,Sumqayıt,Hyundai,Santa Fe,2012,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,81 764 km,Avtomat,Ön,Xeyr,32 900 AZN
https://turbo.az/autos/7730638-audi-q7,"Audi Q7, ",Yeniləndi: 27.09.2023,Baxışların sayı: 878,Bakı,Audi,Q7,2022,Offroader / SUV,Qara,2.0 L/252 a.g./Benzin,27 000 km,Avtomat,Tam,Xeyr,62 500 USD
https://turbo.az/autos/7771948-opel-astra,"Opel Astra, ",Yeniləndi: 27.09.2023,Baxışların sayı: 29,Bakı,Opel,Astra,2009,Universal,Gümüşü,1.3 L/90 a.g./Dizel,201 000 km,Mexaniki,Ön,Xeyr,13 700 AZN
https://turbo.az/autos/7759958-bmw-528,"BMW 528, ",Yeniləndi: 27.09.2023,Baxışların sayı: 325,Bakı,BMW,528,2015,Sedan,Qara,2.0 L/245 a.g./Benzin,131 966 km,Avtomat,Arxa,Xeyr,39 800 AZN
https://turbo.az/autos/7716030-land-rover-discovery,"Land Rover Discovery, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1472,Bakı,Land Rover,Discovery,2015,Offroader / SUV,Yaş Asfalt,3.0 L/340 a.g./Benzin,49 500 km,Avtomat,Tam,Xeyr,48 500 USD
https://turbo.az/autos/7733431-toyota-prius,"Toyota Prius, ",Yeniləndi: 27.09.2023,Baxışların sayı: 898,Bakı,Toyota,Prius,2014,Liftbek,Gümüşü,1.8 L/99 a.g./Hibrid,202 000 km,Avtomat,Ön,Xeyr,21 300 AZN
https://turbo.az/autos/7754410-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 181,Sumqayıt,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.4 L/175 a.g./Benzin,181 783 km,Avtomat,Ön,Xeyr,33 900 AZN
https://turbo.az/autos/7744350-kia-sorento,"Kia Sorento, ",Yeniləndi: 27.09.2023,Baxışların sayı: 996,Bakı,Kia,Sorento,2016,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,177 000 km,Avtomat,Ön,Xeyr,42 500 AZN
https://turbo.az/autos/7771939-kia-optima,"Kia Optima, ",Yeniləndi: 27.09.2023,Baxışların sayı: 39,Bakı,Kia,Optima,2015,Sedan,Ağ,2.0 L/165 a.g./Benzin,195 464 km,Avtomat,Ön,Xeyr,21 400 AZN
https://turbo.az/autos/7740477-kia-optima,"Kia Optima, ",Yeniləndi: 27.09.2023,Baxışların sayı: 5325,Bakı,Kia,Optima,2012,Sedan,Qara,2.0 L/274 a.g./Benzin,206 000 km,Avtomat,Ön,Xeyr,23 600 AZN
https://turbo.az/autos/7755881-toyota-highlander,"Toyota Highlander, ",Yeniləndi: 27.09.2023,Baxışların sayı: 635,Bakı,Toyota,Highlander,2023,Offroader / SUV,Qara,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,68 500 USD
https://turbo.az/autos/7771950-nissan-teana,"Nissan Teana, ",Yeniləndi: 27.09.2023,Baxışların sayı: 29,Bakı,Nissan,Teana,2010,Sedan,Qara,2.5 L/182 a.g./Benzin,118 000 km,Avtomat,Ön,Xeyr,20 000 AZN
https://turbo.az/autos/7672288-renault-talisman,"Renault Talisman, ",Yeniləndi: 27.09.2023,Baxışların sayı: 11279,Bakı,Renault,Talisman,2017,Sedan,Göy,1.6 L/200 a.g./Benzin,73 000 km,Avtomat,Ön,Xeyr,23 500 USD
