link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7766261-hyundai-sonata,"Hyundai Sonata, ",Yeniləndi: 26.09.2023,Baxışların sayı: 338,Bakı,Hyundai,Sonata,2013,Sedan,Göy,2.0 L/274 a.g./Benzin,181 856 km,Avtomat,Ön,Avtomat,20 900 AZN
https://turbo.az/autos/7766274-mercedes-c-220,"Mercedes C 220, ",Yeniləndi: 25.09.2023,Baxışların sayı: 554,Qazax,Mercedes,C 220,2001,Sedan,Boz,2.2 L/143 a.g./Dizel,375 000 km,Mexaniki,Arxa,Mexaniki,12 000 AZN
https://turbo.az/autos/7766264-opel-astra,"Opel Astra, ",Yeniləndi: 25.09.2023,Baxışların sayı: 231,Sumqayıt,Opel,Astra,1996,Universal,Qara,1.8 L/116 a.g./Benzin,374 534 km,Mexaniki,Ön,Mexaniki,6 350 AZN
https://turbo.az/autos/7766277-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 25.09.2023,Baxışların sayı: 112,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Boz,2.0 L/184 a.g./Dizel,203 412 km,Avtomat,Ön,Avtomat,31 200 AZN
https://turbo.az/autos/7751139-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 25.09.2023,Baxışların sayı: 3023,Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,237 000 km,Avtomat,Ön,Avtomat,30 000 AZN
https://turbo.az/autos/7679031-bmw-r-1200-gs-adventure,"BMW R 1200 GS Adventure, ",Yeniləndi: 25.09.2023,Baxışların sayı: 5019,Bakı,BMW,R 1200 GS Adventure,2014,Motosiklet,Yaşıl,1.2 L/125 a.g./Benzin,1 400 km,Mexaniki,Arxa,Mexaniki,16 000 USD
https://turbo.az/autos/7766262-gaz-330200,"GAZ 330200, ",Yeniləndi: 25.09.2023,Baxışların sayı: 832,Sumqayıt,GAZ,330200,2005,Yük maşını,Ağ,2.9 L/150 a.g./Benzin,150 000 km,Mexaniki,Arxa,Mexaniki,13 500 AZN
https://turbo.az/autos/7693559-mazda-cx-5,"Mazda CX-5, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1525,Bakı,Mazda,CX-5,2013,Offroader / SUV,Qara,2.0 L/150 a.g./Benzin,164 500 km,Avtomat,Tam,Avtomat,27 900 AZN
https://turbo.az/autos/7766287-kia-k3,"Kia K3, ",Yeniləndi: 25.09.2023,Baxışların sayı: 169,Bakı,Kia,K3,2014,Sedan,Ağ,1.6 L/136 a.g./Dizel,89 000 km,Avtomat,Ön,Avtomat,24 000 AZN
https://turbo.az/autos/7766292-hyundai-sonata,"Hyundai Sonata, ",Yeniləndi: 25.09.2023,Baxışların sayı: 353,Bakı,Hyundai,Sonata,2010,Sedan,Göy,2.4 L/178 a.g./Benzin,190 000 km,Avtomat,Ön,Avtomat,17 800 AZN
https://turbo.az/autos/7766278-lada-vaz-21099,"LADA (VAZ) 21099, ",Yeniləndi: 26.09.2023,Baxışların sayı: 1383,Ağcabədi,LADA (VAZ),21099,1993,Sedan,Gümüşü,1.6 L/81 a.g./Benzin,240 000 km,Mexaniki,Ön,Mexaniki,2 200 AZN
https://turbo.az/autos/7752982-opel-astra,"Opel Astra, ",Yeniləndi: 25.09.2023,Baxışların sayı: 2282,Bakı,Opel,Astra,2010,Universal,Ağ,1.3 L/90 a.g./Dizel,120 000 km,Mexaniki,Ön,Mexaniki,14 800 AZN
