title,city,brand,fields,values,price,update,views
"Hyundai Elantra, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,1.6 L/110 a.g./Benzin,330 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənib,Digər",14 300 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 3
"Grandmoto Nova, ",Bakı,Grandmoto,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Moped,Qara,0.1 L/8 a.g./Benzin,0 km,Avtomat,Arxa,Bəli,Vuruğu yoxdur, rənglənməyib,Digər",2 599 AZN,Yeniləndi: 23.09.2023,Baxışların sayı: 1540
"Scania R420, ",Bakı,Scania,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Dartqı,Ağ,12 L/420 a.g./Dizel,1 315 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",52 500 AZN,Yeniləndi: 19.09.2023,Baxışların sayı: 3156
"Nissan Note, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Yaş Asfalt,1.2 L/98 a.g./Benzin,48 900 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",14 200 AZN,Yeniləndi: 25.09.2023,Baxışların sayı: 1926
"Mercedes C 180, ",Qəbələ,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Qəbələ,Universal,Gümüşü,1.8 L/122 a.g./Benzin,785 666 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",7 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 73
"Mercedes C 250, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Boz,2.5 L/204 a.g./Benzin,290 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənib,Avropa",12 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2238
"Opel Astra, ",Bakı,Opel,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Universal,Ağ,1.7 L/82 a.g./Dizel,498 655 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",3 700 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 21
"Hyundai Santa Fe, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti","Bakı,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,151 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",33 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 26
"LADA (VAZ) 2107, ",Bakı,LADA (VAZ),"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Sahiblər,Vəziyyəti","Bakı,Sedan,Ağ,1.6 L/75 a.g./Benzin,32 632 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",5 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 28
"Volkswagen Touareg, ",Bakı,Volkswagen,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Gümüşü,3.0 L/340 a.g./Benzin,66 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",52 000 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 5166
