link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7887790-toyota-prius,"Toyota Prius, ",Yeniləndi: 08.11.2023,Baxışların sayı: 167,Bakı,Toyota,Prius,2008,Liftbek,Qara,1.5 L/76 a.g./Hibrid,337 962 km,Avtomat,Ön,Xeyr,17 000 AZN
https://turbo.az/autos/7888219-mercedes-190,"Mercedes 190, ",Yeniləndi: 08.11.2023,Baxışların sayı: 38,Bakı,Mercedes,190,1992,Sedan,Yaş Asfalt,2.5 L/204 a.g./Benzin,350 350 km,Avtomat,Arxa,Xeyr,5 300 AZN
https://turbo.az/autos/7682825-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 08.11.2023,Baxışların sayı: 8120,Bakı,Land Rover,Range Rover,2015,Offroader / SUV,Qara,5.0 L/510 a.g./Benzin,128 000 km,Avtomat,Tam,Xeyr,77 500 USD
https://turbo.az/autos/7825703-mercedes-vito,"Mercedes Vito, ",Yeniləndi: 08.11.2023,Baxışların sayı: 6474,Bakı,Mercedes,Vito,2005,Furqon,Bej,2.2 L/116 a.g./Dizel,259 000 km,Mexaniki,Arxa,Xeyr,15 900 AZN
https://turbo.az/autos/7862648-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 07.11.2023,Baxışların sayı: 1644,Bakı,Mercedes,E 220,2014,Sedan,Boz,2.2 L/170 a.g./Dizel,197 000 km,Avtomat,Arxa,Xeyr,22 800 USD
https://turbo.az/autos/7888199-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 08.11.2023,Baxışların sayı: 104,Tərtər,Mercedes,E 220,1999,Sedan,Gümüşü,2.2 L/143 a.g./Dizel,123 456 km,Avtomat,Arxa,Xeyr,13 000 AZN
https://turbo.az/autos/7738109-ford-transit,"Ford Transit, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1750,Bakı,Ford,Transit,2012,Mikroavtobus,Ağ,2.2 L/125 a.g./Dizel,255 000 km,Mexaniki,Arxa,Xeyr,25 900 AZN
https://turbo.az/autos/7838396-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1043,Bakı,Mercedes,E 220,2008,Sedan,Gümüşü,2.2 L/170 a.g./Dizel,314 000 km,Avtomat,Arxa,Xeyr,23 700 AZN
https://turbo.az/autos/7803143-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 08.11.2023,Baxışların sayı: 4590,Bakı,Land Rover,Range Rover,2015,Offroader / SUV,Ağ,3.0 L/340 a.g./Benzin,109 000 km,Avtomat,Tam,Xeyr,53 000 USD
https://turbo.az/autos/7851859-bmw-528,"BMW 528, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2446,Bakı,BMW,528,2014,Sedan,Ağ,2.0 L/245 a.g./Benzin,168 000 km,Avtomat,Arxa,Xeyr,21 500 USD
https://turbo.az/autos/7872160-fiat-doblo,"Fiat Doblo, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2744,Bakı,Fiat,Doblo,2006,Furqon,Ağ,1.3 L/85 a.g./Dizel,356 000 km,Mexaniki,Ön,Xeyr,6 000 USD
https://turbo.az/autos/7888197-kia-rio,"Kia Rio, ",Yeniləndi: 08.11.2023,Baxışların sayı: 42,Qusar,Kia,Rio,2006,Hetçbek,Yaşıl,1.4 L/97 a.g./Benzin,287 754 km,Mexaniki,Ön,Xeyr,11 000 AZN
https://turbo.az/autos/7888201-lada-vaz-2106,"LADA (VAZ) 2106, ",Yeniləndi: 08.11.2023,Baxışların sayı: 165,Şəmkir,LADA (VAZ),2106,1981,Sedan,Göy,1.5 L/65 a.g./Benzin,88 888 km,Mexaniki,Arxa,Xeyr,5 500 AZN
